,時間,本文
26,2023-02-03 23:58:54+09:00,"RT @_kaku0609: エリザベスとキスした人間は死に追いやられますが、1作目で鍛冶屋ウィルが届けた(作った)剣は、手に取った人間は全員死んでるし最後作った主にこんな形で戻ってくるという、かなり曰く付きな剣っぷりを発揮
#パイレーツオブカリビアン
#金曜ロードショー ht…"
27,2023-02-03 23:58:53+09:00,"やっぱりパイレーツだな😭❤
戦いながら式挙げるシーン大好き。いやー、激アツすぎる。BGMがいちいちカッコよすぎるのよ💗🙈💗
 #パイレーツオブカリビアン 
 #ウィル・ターナー  
 #エリザベス・ターナー"
28,2023-02-03 23:58:52+09:00,パイレーツオブカリビアンで1番好きな人物はバルボッサなんだけどカリーナって名前が好きすぎて更にバルボッサを好きなる
29,2023-02-03 23:58:51+09:00,"RT @HitUltra: やっぱり金ローの事だから編集が甘いんだよな…
10年後にウィルとエリザベスとその息子が会うシーンなかったか…

多分、５作目の地上波初放送の可能性は低いかな…
(なお、可能性は０と言いきれない)
#パイレーツオブカリビアン #パイレーツ・オブ・カリビ…"
30,2023-02-03 23:58:48+09:00,"RT @oOmafuyuOo: 何度見てもこのシーン好き
バルボッサ最高すぎる😂

#パイレーツオブカリビアン https://t.co/ZJGc2JM2K6"
31,2023-02-03 23:58:46+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
32,2023-02-03 23:58:41+09:00,"RT @_kaku0609: 私の推しジャックであるサッシュをフンドシみたいにして着けているジャックがいる、ジャックたくさんシーンがまるごとカットされたので絶望しています（大の字）
#パイレーツオブカリビアン
#金曜ロードショー https://t.co/fRd89oa7SS"
33,2023-02-03 23:58:35+09:00,"こんなカッコイイ船長いたらやばすぎる💕
船酔いしてでもついて行きます‼️🫣🤩

#パイレーツオブカリビアン 
#オーランド・ブルーム https://t.co/Kqmtoe8FDY"
34,2023-02-03 23:58:34+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
35,2023-02-03 23:58:32+09:00,パイレーツオブカリビアンって後続作もあるんだ
36,2023-02-03 23:58:32+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
37,2023-02-03 23:58:31+09:00,ワンドロかツードロしようと描き始めたのにパイレーツオブカリビアン見ちゃって結局途中までしか描けなかったし電池ないし節分も終わる…おやすみ https://t.co/ylYTkcGBEu
38,2023-02-03 23:58:30+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
