,時間,本文
28,2022-11-18 23:58:47+09:00,"あなたの番です
心当たりのある方
あなたの番ですよ🙄"
29,2022-11-18 23:58:45+09:00,"RT @cinematoday: 【金曜ロードショー】 『あなたの番です 劇場版』 公開当時のインタビュー記事を紹介！ #西野七瀬 、黒島役はプレッシャー
https://t.co/bssuB3aaLb"
30,2022-11-18 23:58:40+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
31,2022-11-18 23:58:38+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
32,2022-11-18 23:58:37+09:00,あなたの番です　か？・・・スッキリ。
33,2022-11-18 23:58:34+09:00,"RT @nishinoyodakaki: 推しが尊い

#西野七瀬 

#Aimer #あな番 #あなたの番です劇場版

Aimer「ONE AND LAST」teaser (映画『あなたの番です 劇場版』主題歌) https://t.co/P2NxbYGn2U"
34,2022-11-18 23:58:33+09:00,RT @himena518518: 【稼げるのに諦めてませんか？】こんなにローコストのビジネスはありません！儲かるビジネス4原則「無在庫」「高利益率」「安定収入」「ローコスト」すべてに当てはまるから。ここで今見た人に特別公開しますので今がホントにチャンス！勇気を持って！私にも出…
35,2022-11-18 23:58:31+09:00,"『あなたの番です』を観終えた。
これから10万ボルトTV、家賃、LOLを観よう。
明日も仕事なのに日付け変わるw"
36,2022-11-18 23:58:30+09:00,あなたの番です劇場版、おもんなかった
37,2022-11-18 23:58:30+09:00,"相変わらず康の脚本流石すぎて超面白かった！！これであなたの番ですは完結なのかな…寂しいな…

 #あなたの番です劇場版"
38,2022-11-18 23:58:29+09:00,"あなたの番です思ってたより長い映画だったなぁ⚠️
映画館で見てたらトイレとの戦いなりそうだわ！
終わりちょい謎だったけど…田中圭と野間口さん見れたからいっかぁ(*´ ˘ `*)ｴﾍﾍ💕"
39,2022-11-18 23:58:27+09:00,"やっと金曜ロードショー終わった
あなたの番ですは本編からずっと見てたな懐かしいサスペンスでしたー"
40,2022-11-18 23:58:23+09:00,"あなたの番です結局全部見てしまった

唯一｢えっ｣って声出た場面は動画にしてなかったとこ笑  たしかにずっとカメラの画面だったわ、、笑"
41,2022-11-18 23:58:22+09:00,"RT @Y82Q3: お疲れ様でした✨

今夜は…
🚢あなたの番です劇場版 🎥

また黒島ちゃんやどーやんが地上波で観れる🫣

#あなたの番です劇場版 
#あな番 
#西野七瀬 https://t.co/x7wSWsePO8"
42,2022-11-18 23:58:15+09:00,"あなたの番です
めちゃ長いな"
43,2022-11-18 23:58:12+09:00,"#あなたの番です劇場版 面白かった！
やはり神谷刑事役の #浅香航大 さんが1番良かったですね。
あのサイコパスっぷりはたまりませんでした。見えない目撃者も良かったけど、あなたの番です劇場版もめっちゃ好きです。

映画館で見た時のレビューも良かったらご覧ください！
https://t.co/WRK8ZviYQ0"
