,時間,本文
28,2022-11-11 14:58:30+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
29,2022-11-11 14:58:24+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」まもなくです

#永野芽郁 #田中圭 #石原さとみ #そしてバトンは渡された https://t.co/LEvyUMRyzr"
30,2022-11-11 14:58:22+00:00,"「そしてバトンは渡された」見ててこれは「こんな夜更けにバナナかよ」の雰囲気に似てるな～と思って監督調べたら同じ人だった～
最後に帳尻合わせてくる感じ好きめっちゃ泣いた笑笑"
31,2022-11-11 14:58:05+00:00,"RT @kinro_ntv: 🎹「そして、バトンは渡された」🍳
📺今夜9時　地上波初放送✨
#永野芽郁 #田中圭 #岡田健史 #稲垣来泉 #朝比奈彩 #安藤裕子 #戸田菜穂 #木野花 #石原さとみ／ #大森南朋 #市村正親 #そしてバトンは渡された https://t.co/q…"
32,2022-11-11 14:58:05+00:00,明日結構人数多めの会社の人たちの集まりに行くのにこのタイミングで金ローがよりにもよってそしてバトンは渡されたを採用していて、明日はきっと目が腫れている
33,2022-11-11 14:58:03+00:00,"RT @realsound_m: 【👀#そしてバトンは渡された 注目記事】

▼『そして、バトンは渡された』は“ミステリー的”？
https://t.co/6GK8Wjapg0

▼#永野芽郁 と #岡田健史（#水上恒司）がピアノを猛特訓
https://t.co/pctWeq…"
34,2022-11-11 14:57:56+00:00,感動書いてた自分に超同意なんですけど『そして、バトンは渡された』ほどエンドロールを見てほしいと思う映画はないかもしれない…本編もけっこうカットされてたし、是非ノーカット版を観てほしいしエンドロールも最後まで観てほしい
35,2022-11-11 14:57:50+00:00,"映画　『そして、バトンは渡された』
今テレビで観たけど、めちゃ感動した…
なんだろう…明日からも頑張れる！(笑)"
36,2022-11-11 14:57:39+00:00,"今年酷い映画に当たりすぎたから""そして、バトンは渡された""がキラキラ輝いて見える

大怪獣の後始末のせいだけど……あれのせいで映画見るの怖くなったもん"
37,2022-11-11 14:57:35+00:00,"RT @kinro_ntv: 🎹「そして、バトンは渡された」🍳
📺今夜9時　地上波初放送✨
#永野芽郁 #田中圭 #岡田健史 #稲垣来泉 #朝比奈彩 #安藤裕子 #戸田菜穂 #木野花 #石原さとみ／ #大森南朋 #市村正親 #そしてバトンは渡された https://t.co/q…"
38,2022-11-11 14:57:32+00:00,"✨#Amazon 売れ筋ランキング✨
👑Prime Video部門30位👑

そして、バトンは渡された

#アニメ好きと繋がりたい
#アニメ好きな人RT・いいね
#映画好きな人と繋がりたい

▼PrimeVideoはこちら（30日間無料）
https://t.co/XDUkys5FWB"
39,2022-11-11 14:57:31+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」始まりました
最後までお楽しみください
#永野芽郁 #田中圭 #石原さとみ #そしてバトンは渡された https://t.co/HW6Y32FKM7"
40,2022-11-11 14:57:25+00:00,「そして、バトンは渡された」映画館でも観たけど、やっぱり何度観ても号泣😭
41,2022-11-11 14:57:13+00:00,"金曜ロードショー｢そしてバトンは渡された｣観賞。高校生・｢森宮優子｣は血の繋がらない親を転々とし最終的に料理上手な義父の森宮との暮らしに落ち着く。一方、自由奔放な優子の母｢梨花｣はある日突然、愛娘を残して姿を消す。

#金曜ロードショー
#そしてバトンは渡された https://t.co/0c6okKmTnc"
42,2022-11-11 14:57:10+00:00,"そして、バトンは渡された泣いた。
クロサギごめんなさいーーーー"
43,2022-11-11 14:57:09+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
44,2022-11-11 14:57:08+00:00,"ケイタナカの日に「そして、バトンは渡された」で森宮さん見れてよかった。
3回目だけど、めっちゃ泣いたwww"
45,2022-11-11 14:57:04+00:00,「そして、バトンは渡された」なんかモヤモヤが残るね。家族の在り方に対するステレオタイプぶち壊しにいってるところは好きだけど、優子の優しさでまるく収まった感じになってるのダメダメじゃない？？結果論重視っぽい結末が腑に落ちなかった。
46,2022-11-11 14:57:00+00:00,"＃良かった。🎹「そして、バトンは渡された」🍳
📺今夜9時　地上波初放送✨
#永野芽郁 #田中圭 #岡田健史 #稲垣来泉 #朝比奈彩 #安藤裕子 #戸田菜穂 #木野花 #石原さとみ／ #大森南朋 #市村正親 #そしてバトンは渡された https://t.co/thLnieA4tZ"
47,2022-11-11 14:56:59+00:00,"RT @kinro_ntv: 🎹「そして、バトンは渡された」🍳
📺今夜9時　地上波初放送✨
#永野芽郁 #田中圭 #岡田健史 #稲垣来泉 #朝比奈彩 #安藤裕子 #戸田菜穂 #木野花 #石原さとみ／ #大森南朋 #市村正親 #そしてバトンは渡された https://t.co/q…"
48,2022-11-11 14:56:58+00:00,そしてバトンは渡された見ると男性陣がファンタジーすぎるんだけど親になってみて大事にされて自分もバトンを紡いでって涙腺ガバガバになるやつ😭
49,2022-11-11 14:56:58+00:00,"そして、バトンは渡された観た！
めちゃくちゃ泣いたー！！！😭😭😭
久しぶりに映画観てあんなに泣いた。
でも、本と違うー！！！！
りかちゃん結婚式来てたよね？！
りかちゃん結婚式に行かせてほしかったー！ったいう号泣かも😂そ"
50,2022-11-11 14:56:58+00:00,"そしてバトンは渡された良すぎる🥲
本でしか読んだこと無かったけど、映画版も素敵すぎて🥲🥲🥲"
51,2022-11-11 14:56:57+00:00,"「そしてバトンは渡された」途中から観たから分からない部分あって、仕事仲間に教えてもらった！家帰って見直そうかなぁ
(´｡･u･｡)ﾉ
涙腺崩壊で山手線の中で泣いたよ。。
降りる時見られたけど、そんなの気にしてられないぐらいのストーリーだった(´-ω-)ｳﾑw"
52,2022-11-11 14:56:47+00:00,"「そして、バトンは渡された」
って映画泣いたわ｡･(つд`｡)･｡

これ見て思ったが、あたしゎ結婚式したら泣く気がするw

#そしてバトンは渡された"
53,2022-11-11 14:56:46+00:00,"金曜ロードショーで『そして、バトンは渡された』と『あなたの番です 劇場版』が放送……

ということは、リボンが渡されてそしてフェイトちゃんが助ける番になる
『劇場版 魔法少女リリカルなのは The MOVIE 1st』
を放送してもいいってことでは！？ https://t.co/cHlFw6iUoV"
54,2022-11-11 14:56:45+00:00,"本日の金ローは、「そして、バトンは渡された」でした。登場人物がみんな良い人過ぎて、そして伏線と回収が感動的で、ずっと見入っていました。知らなかった素敵な作品に出会えるのは、本当に嬉しいですね。原作も読みたくなりました。今日もありがとうございました！
#ひなおと金ロー"
55,2022-11-11 14:56:41+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
56,2022-11-11 14:56:37+00:00,"RT @livedoornews: 【地上波初】金曜ロードショー、『そして、バトンは渡された』『あなたの番です 劇場版』放送決定
https://t.co/RJjFEVHlxg

11月11日には2019年の本屋大賞受賞作を映画化した『そして、バトンは渡された』を放送。18日に…"
57,2022-11-11 14:56:36+00:00,"【先日の戦利品】
読書キャンペーン最終日に購入してまいりました！豊作♪豊作♪

先程まで『 そして、バトンは渡された』の映画を観ていて、久々に大号泣してしまいました～😭
明日も仕事なんですが、目腫れたらどうしましょ笑 https://t.co/87p1e1q5I2"
58,2022-11-11 14:56:31+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
59,2022-11-11 14:56:27+00:00,そして、バトンは渡された見そびれた！💔
60,2022-11-11 14:56:26+00:00,"RT @mq938abc: 月金の耳鼻科の
鼻炎アレルギー注射は
もう行ってきました

今日は在宅仕事モード
夜は9時から金曜ロードショー
そして、バトンは渡された
を観る

#映画そしてバトンは渡された
#永野芽郁
#石原さとみ
#田中圭 https://t.co/HCO0T…"
61,2022-11-11 14:56:12+00:00,映画『そして、バトンは渡された』2021.11.30鑑賞。2022.11.11再鑑賞。 https://t.co/z2AYuS3Q9i #Filmarks #映画 #そしてバトンは渡された
62,2022-11-11 14:56:10+00:00,「そして、バトンは渡された」の実に父親に会いに行った時のバスが横浜市営バスでしたわね。エンドロールで確認しようと思ってたけど、エンドロールなかったわ。
63,2022-11-11 14:56:09+00:00,"そして、バトンは渡された
みてた。
大人が子供を振り回してしまうし、子供は子供で大変だけど、愛があるから大変なんだよ、て話。
フィクションとはいえ日本ならあり得るなと思うくらいには俗っぽい。
ただ石原さとみには地上波の時代的にはパパ活感ありすぎて、テレビでやるには遅すぎた気がする笑"
64,2022-11-11 14:56:01+00:00,"金曜ロードショー
「そしてバトンは渡された」
映画館にも3回は観に行った作品
名作過ぎる(;_;)
何度観ても涙 https://t.co/4qFufdg0PA"
65,2022-11-11 14:55:53+00:00,"そして、バトンは渡された。
絶対見たほうがいいです。"
66,2022-11-11 14:55:51+00:00,"RT @kinro_ntv: 🎹「そして、バトンは渡された」🍳
📺今夜9時　地上波初放送✨
#永野芽郁 #田中圭 #岡田健史 #稲垣来泉 #朝比奈彩 #安藤裕子 #戸田菜穂 #木野花 #石原さとみ／ #大森南朋 #市村正親 #そしてバトンは渡された https://t.co/q…"
67,2022-11-11 14:55:47+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
68,2022-11-11 14:55:40+00:00,"そしてバトンは渡された、小説は読んだことあって今日の金ロー本当に楽しみにしてた。
ちょっと原作と違ってびっくりしたとこもあったけど本当に良かった……
泣いた………"
69,2022-11-11 14:55:40+00:00,"RT @cinema_cafe: 『#そして、バトンは渡された』絶妙な距離感から生まれた“親子”の信頼関係

永野芽郁さん＆田中圭さんのインタビューはこちらから✍️
https://t.co/4iMGCNbnoO

#永野芽郁 #田中圭 #金曜ロードショー #金ロー https…"
70,2022-11-11 14:55:38+00:00,"金曜ロードショーで
「そしてバトンは渡された」
を鑑賞

泣いた

人の心をギュッとさせる映画
録画もしたし良いところで寝ようと思ったのに結局最後まで観てしまうほど引き込まれた
一歩下がって物語を冷静に見つめると
ツッコミどころ満載な
メチャクチャな話

だけどそんなの関係なく泣いた"
71,2022-11-11 14:55:37+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
72,2022-11-11 14:55:37+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」まで、あと2️⃣時間
🌸優子（#永野芽郁）は、料理上手な義理の父親・森宮さん（#田中圭）と２人暮らし。
🌟夫を何度も変えて自由奔放に生きる梨花（#石原さとみ）は、ある日突然、愛娘を残して…

2つの家族を巡る、優しさ溢れ…"
73,2022-11-11 14:55:36+00:00,"『そして､バトンは渡された』

2021年公開｡小説の映画化｡永野芽郁､田中圭､石原さとみ｡🥹☺️"
74,2022-11-11 14:55:30+00:00,｢そしてバトンは渡された｣めっちゃよかった…前田哲監督〜！！
75,2022-11-11 14:55:29+00:00,「そしてバトンは渡された」見て泣きすぎて頭痛くなってる
76,2022-11-11 14:55:29+00:00,「そしてバトンは渡された」小説の内容は知ってたけど映画観てなかったから観た。とても良いお話で涙がドバドバでした。おやすみなさい！
77,2022-11-11 14:55:27+00:00,そしてバトンは渡された、凄い感動して涙ぼろぼろ出た、小説も読んでみたい
78,2022-11-11 14:55:26+00:00,"そしてバトンは渡された面白かった！
結末知ってもう一度見たくなる！！"
79,2022-11-11 14:55:23+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」まもなくです

#永野芽郁 #田中圭 #石原さとみ #そしてバトンは渡された https://t.co/LEvyUMRyzr"
80,2022-11-11 14:55:23+00:00,"映画『そして、バトンは渡された』
とちのきファミリーランド！ https://t.co/tYJtBzRrE8 #Filmarks #映画 #そしてバトンは渡された"
81,2022-11-11 14:55:18+00:00,そしてバトンは渡された、を少しだけ観ました。面白かったです
82,2022-11-11 14:55:12+00:00,"そしてバトンは渡された

泣いた、、、泣いた、、

目が痒い"
83,2022-11-11 14:55:06+00:00,"RT @sachika_nitta: 帰宅したら
そして、バトンは渡された
もう地上波！！！
大好きな映画の一つです🥲🫶🏽"
84,2022-11-11 14:55:03+00:00,"ホントは劇場で見たかった映画
「そしてバトンは渡された」
題の意味もわかった  いい映画だった
(´°̥̥̥ω°̥̥̥｀)
岡田健史くん   中学生日記の時から
応援してる俳優さん
もっとドラマに出てほしいな

おやすみ^ᴗ.ᴗ^なさぃ ᶻᶻᶻ
今日も一日感謝🙏"
85,2022-11-11 14:54:59+00:00,"金曜ロードショー
｢そして、バトンは渡された｣を観ました。
以前、本は読んでいて、読み応えがあったので、今日は映画が観れて良かったです。
短い時間に話をおさめる工夫がされていたし、すごく胸がジーンとし、感動しました。
号泣しました😭"
86,2022-11-11 14:54:59+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
87,2022-11-11 14:54:54+00:00,"そしてバトンは渡された
最後のシーン、あのラストシーン
泣かせるのズルすぎる…"
88,2022-11-11 14:54:53+00:00,"金ローでみた
そしてバトンは渡された
がなんか気持ち悪くて…
みんな怒りや負の感情が欠落してるのかな？"
89,2022-11-11 14:54:52+00:00,"#そしてバトンは渡された 
ずっと気になってた映画、地上波ありがとうございます✨

「そしてバトンは渡された」の意味😭
久々ボロ泣き😭

原作は最期ママと会えて会話しているらしい…
そちらも気になった☺️"
90,2022-11-11 14:54:44+00:00,子供の寝かしつけも忘れて、そしてバトンは渡されたを見てしまった私は、今腹の上で暴れる次男をどうしたら寝かせられるだろうか、いやほっときゃ寝るかと諦めつつTwitterで呟いている←
91,2022-11-11 14:54:42+00:00,"そしてバトンは渡された
見てたのにーーーー！！
今1番いいとこだったのに旦那皿洗いの水圧強すぎてなんにも聞こえん😭"
92,2022-11-11 14:54:41+00:00,"そしてバトンは渡された
見たかったけどほんとに泣けた💦"
93,2022-11-11 14:54:36+00:00,"そしてバトンは渡された
めっちゃ泣けた
 #金曜ロードショー
 #そしてバトンは渡された"
94,2022-11-11 14:54:36+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
